20140901,317930320,294750172
20140902,283555404,273091393
20140903,267754040,277010054
20140904,254598771,243357332
20140905,212808072,233819930
20140906,164622430,169470790
20140907,175196474,166473061
20140908,266099441,276270824
20140909,269531047,271596576
20140910,273121377,252078279
20140911,260122972,231805203
20140912,220357034,226114457
20140913,185244261,168742456
20140914,185347488,181021770
20140915,298421611,292292533
20140916,282090257,269712561
20140917,272446415,256302706
20140918,254781729,233433429
20140919,214088553,219895548
20140920,166370923,164019750
20140921,169809449,178430065
20140922,291376633,303918248
20140923,270046825,280618158
20140924,264171208,257868350
20140925,250768825,246732969
20140926,208482177,238995824
20140927,172836318,167305330
20140928,180289153,182531863
20140929,290060127,308592535
20140930,267617539,280381250
