20140901,318070576,297129230
20140902,270162537,268258961
20140903,268687683,266015318
20140904,241344826,246774427
20140905,227153748,228016680
20140906,168394629,172009983
20140907,166205736,164113256
20140908,212602428,238195141
20140909,250311876,325465389
20140910,276988462,262512290
20140911,262058523,237354796
20140912,230928229,220927826
20140913,170097203,170733312
20140914,170407826,164917472
20140915,313089384,295900411
20140916,303642982,303343888
20140917,251935693,256899608
20140918,249752119,214655764
20140919,231416480,213503547
20140920,171851378,160224592
20140921,161372353,166856689
20140922,280927920,313693600
20140923,244150523,282559405
20140924,240706487,270656293
20140925,237581894,249288119
20140926,210983833,215680514
20140927,162515897,168124560
20140928,164384992,183853607
20140929,280269667,325734813
20140930,262193605,279806686
